,T1,T2,Season,1Seed-2Seed,ScoreAvgDiff,NumotAvgDiff,FgmAvgDiff,FgaAvgDiff,Fgm3AvgDiff,Fga3AvgDiff,FtmAvgDiff,FtaAvgDiff,OrAvgDiff,DrAvgDiff,AstAvgDiff,ToAvgDiff,StlAvgDiff,BlkAvgDiff,PfAvgDiff,ScorediffAvgDiff,WinAvgDiff,T1 WL
867,Washington,Old Dominion,2011,-2,17.66666667,0.060606061,6.51515151,10.45454545,3.939393939,8.90909091,0.6969697,0.93939394,-1.45454545,0.6060606,2.6969697,-0.03030303,-0.090909091,0.969696969,5.54545454,5.575757575,-0.121212121,1
868,George Mason,Old Dominion,2011,-1,7.49526515,0.09375,2.05776515,0.62594697,1.839962121,2.08901515,1.53977273,1.46875,-4.89109848,-0.1969697,-0.14204545,-1.45643939,-0.068181818,-1.051136364,2.42897727,4.267045455,-0.005681818,1
869,Villanova,Old Dominion,2011,0,6.87026515,0.03125,0.43276515,1.18844697,1.464962121,3.33901515,4.53977273,3.5,-3.23484848,0.1780303,-0.70454545,-0.42518939,-0.474431818,-0.613636364,2.74147727,-0.389204545,-0.161931818,0
870,Georgia,Old Dominion,2011,1,2.96401515,0.1875,1.15151515,1.34469697,-0.160037879,-0.97348485,0.82102273,0.25,-3.10984848,0.6467803,0.73295455,1.01231061,-0.318181818,0.667613636,1.77272727,-3.014204545,-0.161931818,0
871,Marquette,Old Dominion,2011,2,10.23975044,0.029411765,2.76916221,2.88146168,0.385918003,0.09269162,4.31550802,5.44117647,-3.07308377,-0.90285205,1.36898396,-0.42335115,0.35828877,-0.745989305,2.15508021,-0.51604278,-0.229946524,0
872,Clemson,Old Dominion,2011,3,2.40151515,0.0625,-0.12973485,-0.31155303,1.621212121,3.77651515,1.03977273,0.65625,-4.01609848,-1.2594697,-1.54829545,0.94981061,1.213068182,0.511363636,3.64772727,-0.232954545,-0.161931818,0
873,UAB,Old Dominion,2011,3,3.05151515,0.2,0.75151515,1.86969697,2.687878788,7.61818182,-1.13939394,-3.13333333,-3.98484848,-0.1969697,-0.78787878,-0.12727272,-1.484848485,-1.230303031,2.07272727,-0.978787878,-0.084848485,0
874,Princeton,Old Dominion,2011,4,3.65151515,0.166666667,0.58484848,-1.23030303,1.254545454,1.58484848,1.22727273,-0.23333333,-5.718181813,0.03636363,-1.18787878,-0.09393939,-0.984848485,-0.196969697,2.87272727,-1.978787878,-0.018181818,0
875,Indiana St,Old Dominion,2011,5,-0.00473485,0.125,-1.50473485,-1.37405303,1.871212121,4.18276515,1.13352273,0.21875,-4.95359848,-0.2907197,-2.07954545,1.66856061,-0.818181818,-0.082386364,5.58522727,-6.482954545,-0.224431818,0
876,Long Island,Old Dominion,2011,6,16.74526515,0.0625,4.18276515,6.09469697,2.027462121,4.02651515,6.35227273,10.4375,-1.01609848,2.6780303,0.67045455,2.94981061,0.525568182,-0.926136364,2.52272727,1.173295455,0.025568182,0
877,Alabama St,Old Dominion,2011,7,-4.28598485,0.0625,-2.94223485,-1.46780303,-0.066287879,1.62026515,1.66477273,4.53125,-2.17234848,-2.4157197,-2.82954545,3.32481061,0.494318182,0.198863636,7.58522727,-10.42045455,-0.349431818,0
878,UT San Antonio,Old Dominion,2011,7,4.63427377,0,-0.36572623,0.6938349,2.259143155,4.80668756,3.10658307,2.75862069,-5.14002089,-0.62800418,-1.86833855,1.08881923,-0.02507837,-1.984326019,5.03134796,-7.786833855,-0.26645768,0
879,Duke,Old Dominion,2011,-8,15.21033868,0,4.26916221,5.94028521,3.121212121,6.47504456,3.55080214,2.44117647,-3.19073083,1.27361854,-0.04278074,-0.15864527,0.652406417,0.048128342,3.15508021,9.248663105,0.064171123,1
880,San Diego St,Old Dominion,2011,-7,5.18276515,0,2.24526515,2.96969697,0.902462121,2.37026515,-0.21022727,-1.34375,-2.89109848,-0.0094697,-1.23579545,-1.36268939,-0.630681818,0.355113636,0.46022727,4.579545455,0.119318182,1
881,Connecticut,Old Dominion,2011,-6,7.55151515,0.171428571,2.15151515,6.02683983,0.94978355,2.72294372,2.2987013,0.62857143,-1.05627705,0.44588744,-1.34025974,-0.65108225,-0.189610389,1.264935065,1.3012987,-0.516883116,-0.075324675,1
882,Texas,Old Dominion,2011,-5,9.06327986,0.058823529,2.62210339,4.29322638,0.827094474,0.29857397,2.99197861,5.20588235,-1.69073083,2.00891265,-0.98395721,-0.57040998,-0.994652406,0.548128342,2.47860962,5.983957215,-0.024064171,1
883,Arizona,Old Dominion,2011,-4,10.68092691,0.117647059,1.56327986,-0.03030303,3.062388592,5.03386809,4.49197861,3.79411765,-5.07308377,-0.52049911,-0.36631016,0.45900179,-1.788770053,-1.71657754,3.89037433,1.513368984,-0.024064171,1
884,Cincinnati,Old Dominion,2011,-3,3.12121212,0.03030303,0.3030303,1.42424242,1.545454545,4.12121212,0.96969697,1.39393939,-2.39393939,-2.15151515,-0.18181818,-0.81818181,0.757575758,-0.575757576,2.57575757,2.212121213,-0.06060606,1
885,Temple,Old Dominion,2011,-2,5.08901515,0.03125,1.74526515,3.09469697,1.214962121,2.37026515,0.38352273,-0.3125,-4.45359848,0.3655303,0.79545455,-1.61268939,0.119318182,0.323863636,1.21022727,1.235795455,-0.036931818,0
886,Michigan,Old Dominion,2011,-1,-0.34848485,0.0625,-0.34848485,-0.90530303,3.246212121,8.08901515,-2.89772727,-5.1875,-7.42234848,-1.1657197,-1.04829545,-2.23768939,-2.130681818,-2.301136364,2.05397727,-4.670454545,-0.224431818,0
887,Tennessee,Old Dominion,2011,0,4.78787879,0.060606061,1.06060606,3.48484849,0.333333333,2.27272727,2.33333334,2.84848485,-1.6060606,-0.60606061,-1.33333333,0.81818182,0.636363637,-0.696969697,4.93939394,-4.212121212,-0.242424242,0
888,Penn St,Old Dominion,2011,1,-2.81818182,0,-1.3939394,-2.6969697,1.424242424,3.90909091,-1.45454545,-3.6969697,-5.51515151,-3.09090909,-2.3030303,-1.84848484,-2.363636363,-1.878787879,0.93939394,-6.939393939,-0.242424242,0
889,Missouri,Old Dominion,2011,2,14.99526515,0.09375,5.02651515,8.62594697,2.214962121,4.65151515,2.72727273,1.75,-3.32859848,-2.3219697,1.76420455,0.13731061,2.900568182,0.605113636,5.86647727,1.454545455,-0.130681818,0
890,Memphis,Old Dominion,2011,3,6.18092691,0.088235294,1.59269162,2.46969697,1.121212121,3.50445633,1.87433155,2.29411765,-3.39661319,-1.10873441,0.13368984,2.90017826,1.711229947,0.989304812,5.50802139,-3.604278074,-0.0828877,0
891,Oakland,Old Dominion,2011,4,19.24242424,0.03030303,6.03030303,6.36363636,3.121212121,6.36363636,4.06060606,4.15151515,-3.03030303,1.6060606,1.63636364,1.27272728,-0.666666666,1.090909091,3.87878788,1,-0.090909091,0
892,Bucknell,Old Dominion,2011,5,4.90909091,0.03030303,0.72727273,0.63636364,2,2.24242424,1.45454546,-1.27272727,-7.333333328,1.27272727,0.27272728,-1.03030303,-2.06060606,-1.181818182,3.51515151,-0.212121212,-0.06060606,0
893,N Colorado,Old Dominion,2011,6,5.18599791,0,-1.36572623,-1.27168234,3.086729362,5.91013584,4.83072101,3.44827586,-3.69174503,-0.90386625,-2.86833855,2.08881923,-1.02507837,-2.46708464,4.72100313,-3.1661442,-0.163009404,0
894,Hampton,Old Dominion,2011,7,1.05474096,0.129032258,-1.23558162,1.90518084,1.54056696,5.11925709,1.98533725,3.58064516,-4.38807429,-0.21309873,-2.64809384,-0.26490713,0.504398827,1.346041055,3.75659824,-2.51319648,-0.076246334,0
895,Pittsburgh,Old Dominion,2011,-8,8.21401515,0.03125,2.24526515,1.00094697,0.996212121,0.21401515,2.72727273,3.8125,-1.26609848,0.9592803,2.92045455,-0.73768939,-2.005681818,-0.926136364,3.27272727,5.548295455,0.025568182,1
896,Florida,Old Dominion,2011,-7,5.6969697,0.151515152,2.09090909,2.15151515,1.333333333,2.6060606,0.18181818,0.18181818,-2.39393939,-0.27272728,-0.72727272,0.03030303,-0.939393939,-0.818181819,-0.30303031,0.93939394,-0.03030303,1
897,BYU,Old Dominion,2011,-6,15.42424242,0.060606061,3.6969697,7.06060606,3.303030303,7.81818182,4.72727273,3.81818182,-4.03030303,2.3030303,-0.18181818,-1.39393939,1.151515152,-0.181818182,2.87878788,5.878787875,0.060606061,1
898,Wisconsin,Old Dominion,2011,-5,2.34506354,0.064516129,0.02248289,-0.4173998,3.18572825,6.86119257,-0.8856305,-4.96774194,-4.93646138,-3.18084067,-1.29325513,-5.006842616,-3.366568915,-1.202346041,0.3372434,2.325513197,-0.076246334,1
899,Kansas St,Old Dominion,2011,-4,6.86119257,0,1.02248289,3.13098729,2.18572825,4.02248289,2.63049854,4.41935484,-0.83968719,-1.56793744,-0.32551319,2.57380255,-0.592375366,0.281524926,5.72434017,-0.964809384,-0.140762463,1
900,St John's,Old Dominion,2011,-3,4.21401515,0.03125,0.52651515,-0.43655303,-0.628787879,-1.97348485,3.78977273,4,-4.57859848,-2.8532197,-1.70454545,0.04356061,1.181818182,-1.551136364,4.14772727,-3.889204545,-0.161931818,0
901,UCLA,Old Dominion,2011,-2,4.12026515,0.09375,0.68276515,-0.28030303,0.308712121,0.96401515,2.44602273,3,-3.67234848,0.7092803,0.17045455,2.44981061,-1.380681818,1.417613636,2.77272727,-3.357954545,-0.130681818,0
902,Butler,Old Dominion,2011,-1,6.63538612,0.096774194,0.86119257,1.77614858,2.572825024,5.73216031,2.34017596,1.4516129,-4.61388074,-0.63245357,-2.03519061,-1.10361681,-0.882697947,-2.847507332,4.43401759,-0.061583577,-0.108504399,0
903,Ohio St,Michigan St,2011,-9,8.96323529,-0.064338235,3.62867647,0.15073529,1.069852941,-0.27389706,0.63602941,0.68566176,-0.73161765,-1.95588235,0.74264706,-3.13602941,0.863970588,-1.645220588,-4.57904412,15.10845588,0.378676471,1
904,North Carolina,Michigan St,2011,-8,8.54166667,-0.06344697,4.09659091,6.65340909,-1.070075758,-2.42897727,1.41856061,3.20170455,2.24431818,3.08333333,0.45833333,0.20265152,-0.191287879,0.364583333,-2.60132576,6.752840909,0.225378788,1
905,Syracuse,Michigan St,2011,-7,5.48106061,-0.033143939,3.06628788,1.89583333,0.051136364,-0.06534091,-0.70265152,0.11079545,0.66856061,-0.00757576,1.4280303,-1.19128788,2.445075758,1.849431818,-3.48011364,8.11647727,0.225378788,1
906,Kentucky,Michigan St,2011,-6,8.29924242,-0.06344697,2.97537879,2.74431818,1.051136364,0.38920455,1.29734848,1.23200758,0.15340909,0.75,-2.1780303,-2.64583333,-0.827651515,1.303977273,-2.75284091,10.41950758,0.195075758,1
907,West Virginia,Michigan St,2011,-5,1.4233871,-0.09375,-0.13508065,-0.01814516,-0.054435484,0.52116935,1.74798387,2.23689516,2.44959677,-2.21774194,0.18951613,-1.21572581,-1.699596774,-0.678427419,-0.97278226,3.295362903,0.08266129,1
908,Xavier,Michigan St,2011,-4,4.48790323,0.035282258,0.80040323,-2.24395161,-0.796370968,-1.6078629,3.68346774,3.55947581,-1.71169355,0.00806452,-1.55241935,-1.34475806,-0.796370968,-1.871975806,-1.68245968,5.908266129,0.211693548,1
909,Washington,Michigan St,2011,-3,15.39015152,-0.033143939,6.55113636,9.04734848,2.505681818,5.60132576,-0.21780303,0.59564394,2.09280303,0.0530303,2.27651515,-0.94886364,0.414772727,0.364583333,1.42897727,10.96496212,0.134469697,1
910,George Mason,Michigan St,2011,-2,5.21875,0,2.09375,-0.78125,0.40625,-1.21875,0.625,1.125,-1.34375,-0.75,-0.5625,-2.375,0.4375,-1.65625,-1.6875,9.65625,0.25,1
911,Villanova,Michigan St,2011,-1,4.59375,-0.0625,0.46875,-0.21875,0.03125,0.03125,3.625,3.15625,0.3125,-0.375,-1.125,-1.34375,0.03125,-1.21875,-1.375,5,0.09375,1
912,Georgia,Michigan St,2011,0,0.6875,0.09375,1.1875,-0.0625,-1.59375,-4.28125,-0.09375,-0.09375,0.4375,0.09375,0.3125,0.09375,0.1875,0.0625,-2.34375,2.375,0.09375,1
913,Marquette,Michigan St,2011,1,7.96323529,-0.064338235,2.80514706,1.47426471,-1.047794118,-3.21507353,3.40073529,5.09742647,0.47426471,-1.45588235,0.94852941,-1.34191176,0.863970588,-1.351102941,-1.96139706,4.873161765,0.025735294,1
914,Clemson,Michigan St,2011,2,0.125,-0.03125,-0.09375,-1.71875,0.1875,0.46875,0.125,0.3125,-0.46875,-1.8125,-1.96875,0.03125,1.71875,-0.09375,-0.46875,5.15625,0.09375,1
915,UAB,Michigan St,2011,2,0.775,0.10625,0.7875,0.4625,1.254166667,4.31041667,-2.05416667,-3.47708333,-0.4375,-0.75,-1.20833333,-1.04583333,-0.979166667,-1.835416667,-2.04375,4.410416667,0.170833333,1
916,Princeton,Michigan St,2011,3,1.375,0.072916667,0.62083333,-2.6375,-0.179166667,-1.72291667,0.3125,-0.57708333,-2.170833333,-0.51666667,-1.60833333,-1.0125,-0.479166667,-0.802083333,-1.24375,3.410416667,0.2375,0
917,Indiana St,Michigan St,2011,4,-2.28125,0.03125,-1.46875,-2.78125,0.4375,0.875,0.21875,-0.125,-1.40625,-0.84375,-2.5,0.75,-0.3125,-0.6875,1.46875,-1.09375,0.03125,0
918,Long Island,Michigan St,2011,5,14.46875,-0.03125,4.21875,4.6875,0.59375,0.71875,5.4375,10.09375,2.53125,2.125,0.25,2.03125,1.03125,-1.53125,-1.59375,6.5625,0.28125,0
919,Alabama St,Michigan St,2011,6,-6.5625,-0.03125,-2.90625,-2.875,-1.5,-1.6875,0.75,4.1875,1.375,-2.96875,-3.25,2.40625,1,-0.40625,3.46875,-5.03125,-0.09375,0
920,UT San Antonio,Michigan St,2011,6,2.35775862,-0.09375,-0.32974138,-0.71336207,0.825431034,1.49892241,2.19181034,2.41487069,-1.59267241,-1.18103448,-2.2887931,0.17025862,0.480603448,-2.589439655,0.91487069,-2.39762931,-0.010775862,0
921,Duke,Michigan St,2011,-9,12.93382353,-0.09375,4.30514706,4.53308824,1.6875,3.16727941,2.63602941,2.09742647,0.35661765,0.72058824,-0.46323529,-1.07720588,1.158088235,-0.556985294,-0.96139706,14.63786765,0.319852941,1
922,San Diego St,Michigan St,2011,-8,2.90625,-0.09375,2.28125,1.5625,-0.53125,-0.9375,-1.125,-1.6875,0.65625,-0.5625,-1.65625,-2.28125,-0.125,-0.25,-3.65625,9.96875,0.375,1
923,Connecticut,Michigan St,2011,-7,5.275,0.077678571,2.1875,4.61964286,-0.483928571,-0.58482143,1.38392857,0.28482143,2.49107143,-0.10714286,-1.76071429,-1.56964286,0.316071429,0.659821429,-2.81517857,4.872321429,0.180357143,1
924,Texas,Michigan St,2011,-6,6.78676471,-0.034926471,2.65808824,2.88602941,-0.606617647,-3.00919118,2.07720588,4.86213235,1.85661765,1.45588235,-1.40441176,-1.48897059,-0.488970588,-0.056985294,-1.63786765,11.37316176,0.231617647,1
925,Arizona,Michigan St,2011,-5,8.40441176,0.023897059,1.59926471,-1.4375,1.628676471,1.72610294,3.57720588,3.45036765,-1.52573529,-1.07352941,-0.78676471,-0.45955882,-1.283088235,-2.321691176,-0.22610294,6.902573529,0.231617647,1
926,Cincinnati,Michigan St,2011,-4,0.84469697,-0.06344697,0.33901515,0.01704545,0.111742424,0.81344697,0.05492424,1.05018939,1.15340909,-2.70454545,-0.60227273,-1.73674242,1.263257576,-1.180871212,-1.5407197,7.601325758,0.195075758,1
927,Temple,Michigan St,2011,-3,2.8125,-0.0625,1.78125,1.6875,-0.21875,-0.9375,-0.53125,-0.65625,-0.90625,-0.1875,0.375,-2.53125,0.625,-0.28125,-2.90625,6.625,0.21875,1
928,Michigan,Michigan St,2011,-2,-2.625,-0.03125,-0.3125,-2.3125,1.8125,4.78125,-3.8125,-5.53125,-3.875,-1.71875,-1.46875,-3.15625,-1.625,-2.90625,-2.0625,0.71875,0.03125,1
929,Tennessee,Michigan St,2011,-1,2.51136364,-0.033143939,1.09659091,2.07765152,-1.100378788,-1.03503788,1.41856061,2.50473485,1.94128788,-1.15909091,-1.75378788,-0.10037879,1.142045455,-1.302083333,0.82291667,1.177083333,0.013257576,1
930,Penn St,Michigan St,2011,0,-5.09469697,-0.09375,-1.35795455,-4.10416667,-0.009469697,0.60132576,-2.36931818,-4.0407197,-1.96780303,-3.64393939,-2.72348485,-2.76704545,-1.857954545,-2.483901515,-3.17708333,-1.550189394,0.013257576,1
931,Missouri,Michigan St,2011,1,12.71875,0,5.0625,7.21875,0.78125,1.34375,1.8125,1.40625,0.21875,-2.875,1.34375,-0.78125,3.40625,0,1.75,6.84375,0.125,1
932,Memphis,Michigan St,2011,2,3.90441176,-0.005514706,1.62867647,1.0625,-0.3125,0.19669118,0.95955882,1.95036765,0.15073529,-1.66176471,-0.28676471,1.98161765,2.216911765,0.384191176,1.39154412,1.784926471,0.172794118,0
933,Oakland,Michigan St,2011,3,16.96590909,-0.06344697,6.06628788,4.95643939,1.6875,3.05587121,3.14583333,3.80776515,0.51704545,1.0530303,1.21590909,0.35416667,-0.160984848,0.485795455,-0.23768939,6.389204545,0.164772727,1
934,Bucknell,Michigan St,2011,4,2.63257576,-0.06344697,0.76325758,-0.77083333,0.566287879,-1.06534091,0.53977273,-1.61647727,-3.785984848,0.71969697,-0.14772727,-1.94886364,-1.554924242,-1.786931818,-0.60132576,5.177083333,0.195075758,0
935,N Colorado,Michigan St,2011,5,2.90948276,-0.09375,-1.32974138,-2.67887931,1.653017241,2.60237069,3.91594828,3.10452586,-0.14439655,-1.45689655,-3.2887931,1.17025862,-0.519396552,-3.072198276,0.60452586,2.223060345,0.092672414,0
936,Hampton,Michigan St,2011,6,-1.22177419,0.035282258,-1.19959677,0.49798387,0.106854839,1.81149194,1.07056452,3.23689516,-0.84072581,-0.76612903,-3.06854839,-1.18346774,1.010080645,0.740927419,-0.35987903,2.876008065,0.179435484,0
937,Pittsburgh,Michigan St,2011,-9,5.9375,-0.0625,2.28125,-0.40625,-0.4375,-3.09375,1.8125,3.46875,2.28125,0.40625,2.5,-1.65625,-1.5,-1.53125,-0.84375,10.9375,0.28125,1
938,Florida,Michigan St,2011,-8,3.42045455,0.057765152,2.12689394,0.74431818,-0.100378788,-0.70170455,-0.73295455,-0.16193182,1.15340909,-0.82575758,-1.14772727,-0.88825758,-0.433712121,-1.423295455,-4.41950758,6.328598485,0.225378788,1
939,BYU,Michigan St,2011,-7,13.14772727,-0.033143939,3.73295455,5.65340909,1.869318182,4.51041667,3.8125,3.47443182,-0.48295455,1.75,-0.60227273,-2.3125,1.65719697,-0.786931818,-1.23768939,11.26799242,0.316287879,1
940,Wisconsin,Michigan St,2011,-6,0.06854839,-0.029233871,0.05846774,-1.82459677,1.752016129,3.55342742,-1.80040323,-5.31149194,-1.3891129,-3.73387097,-1.71370968,-5.925403226,-2.860887097,-1.807459677,-3.77923387,7.714717742,0.179435484,1
941,Kansas St,Michigan St,2011,-5,4.58467742,-0.09375,1.05846774,1.72379032,0.752016129,0.71471774,1.71572581,4.07560484,2.70766129,-2.12096774,-0.74596774,1.65524194,-0.086693548,-0.32358871,1.6078629,4.424395161,0.114919355,1
942,St John's,Michigan St,2011,-4,1.9375,-0.0625,0.5625,-1.84375,-2.0625,-5.28125,2.875,3.65625,-1.03125,-3.40625,-2.125,-0.875,1.6875,-2.15625,0.03125,1.5,0.09375,1
943,UCLA,Michigan St,2011,-3,1.84375,0,0.71875,-1.6875,-1.125,-2.34375,1.53125,2.65625,-0.125,0.15625,-0.25,1.53125,-0.875,0.8125,-1.34375,2.03125,0.125,1
944,Butler,Michigan St,2011,-2,4.35887097,0.003024194,0.89717742,0.36895161,1.139112903,2.42439516,1.42540323,1.1078629,-1.06653226,-1.18548387,-2.45564516,-2.02217742,-0.377016129,-3.452620968,0.31754032,5.327620968,0.147177419,1
945,Old Dominion,Michigan St,2011,-1,-2.27651515,-0.09375,0.03598485,-1.40719697,-1.433712121,-3.30776515,-0.91477273,-0.34375,3.54734848,-0.5530303,-0.42045455,-0.91856061,0.505681818,-0.605113636,-4.11647727,5.389204545,0.255681818,1
946,Ohio St,Gonzaga,2011,-10,1.21323529,-0.033088235,1.09742647,0.05698529,1.757352941,2.10110294,-2.73897059,-2.09558824,-0.26286765,-2.58088235,0.71139706,-3.35477941,-0.167279412,-0.301470588,-4.42279412,6.57720588,0.222426471,1
947,North Carolina,Gonzaga,2011,-9,0.79166667,-0.03219697,1.56534091,6.55965909,-0.382575758,-0.05397727,-1.95643939,0.42045455,2.71306818,2.45833333,0.42708333,-0.01609848,-1.222537879,1.708333333,-2.44507576,-1.778409091,0.069128788,1
948,Syracuse,Gonzaga,2011,-8,-2.26893939,-0.001893939,0.53503788,1.80208333,0.738636364,2.30965909,-4.07765152,-2.67045455,1.13731061,-0.63257576,1.3967803,-1.41003788,1.413825758,3.193181818,-3.32386364,-0.41477273,0.069128788,1
949,Kentucky,Gonzaga,2011,-7,0.54924242,-0.03219697,0.44412879,2.65056818,1.738636364,2.76420455,-2.07765152,-1.54924242,0.62215909,0.125,-2.2092803,-2.86458333,-1.858901515,2.647727273,-2.59659091,1.88825758,0.038825758,1
950,West Virginia,Gonzaga,2011,-6,-6.3266129,-0.0625,-2.66633065,-0.11189516,0.633064516,2.89616935,-1.62701613,-0.54435484,2.91834677,-2.84274194,0.15826613,-1.43447581,-2.730846774,0.665322581,-0.81653226,-5.235887097,-0.07358871,1
951,Xavier,Gonzaga,2011,-5,-3.26209677,0.066532258,-1.73084677,-2.33770161,-0.108870968,0.7671371,0.30846774,0.77822581,-1.24294355,-0.61693548,-1.58366935,-1.56350806,-1.827620968,-0.528225806,-1.52620968,-2.622983871,0.055443548,1
952,Washington,Gonzaga,2011,-4,7.64015152,-0.001893939,4.01988636,8.95359848,3.193181818,7.97632576,-3.59280303,-2.18560606,2.56155303,-0.5719697,2.24526515,-1.16761364,-0.616477273,1.708333333,1.58522727,2.43371212,-0.021780303,1
953,George Mason,Gonzaga,2011,-3,-2.53125,0.03125,-0.4375,-0.875,1.09375,1.15625,-2.75,-1.65625,-0.875,-1.375,-0.59375,-2.59375,-0.59375,-0.3125,-1.53125,1.125,0.09375,1
954,Villanova,Gonzaga,2011,-2,-3.15625,-0.03125,-2.0625,-0.3125,0.71875,2.40625,0.25,0.375,0.78125,-1,-1.15625,-1.5625,-1,0.125,-1.21875,-3.53125,-0.0625,0
955,Georgia,Gonzaga,2011,-1,-7.0625,0.125,-1.34375,-0.15625,-0.90625,-1.90625,-3.46875,-2.875,0.90625,-0.53125,0.28125,-0.125,-0.84375,1.40625,-2.1875,-6.15625,-0.0625,0
956,Marquette,Gonzaga,2011,0,0.21323529,-0.033088235,0.27389706,1.38051471,-0.360294118,-0.84007353,0.02573529,2.31617647,0.94301471,-2.08088235,0.91727941,-1.56066176,-0.167279412,-0.007352941,-1.80514706,-3.658088235,-0.130514706,0
957,Clemson,Gonzaga,2011,1,-7.625,0,-2.625,-1.8125,0.875,2.84375,-3.25,-2.46875,0,-2.4375,-2,-0.1875,0.6875,1.25,-0.3125,-3.375,-0.0625,0
958,UAB,Gonzaga,2011,1,-6.975,0.1375,-1.74375,0.36875,1.941666667,6.68541667,-5.42916667,-6.25833333,0.03125,-1.375,-1.23958333,-1.26458333,-2.010416667,-0.491666667,-1.8875,-4.120833333,0.014583333,0
959,Princeton,Gonzaga,2011,2,-6.375,0.104166667,-1.91041667,-2.73125,0.508333333,0.65208333,-3.0625,-3.35833333,-1.702083333,-1.14166667,-1.63958333,-1.23125,-1.510416667,0.541666667,-1.0875,-5.120833333,0.08125,0
960,Indiana St,Gonzaga,2011,3,-10.03125,0.0625,-4,-2.875,1.125,3.25,-3.15625,-2.90625,-0.9375,-1.46875,-2.53125,0.53125,-1.34375,0.65625,1.625,-9.625,-0.125,0
961,Long Island,Gonzaga,2011,4,6.71875,0,1.6875,4.59375,1.28125,3.09375,2.0625,7.3125,3,1.5,0.21875,1.8125,0,-0.1875,-1.4375,-1.96875,0.125,0
962,Alabama St,Gonzaga,2011,5,-14.3125,0,-5.4375,-2.96875,-0.8125,0.6875,-2.625,1.40625,1.84375,-3.59375,-3.28125,2.1875,-0.03125,0.9375,3.625,-13.5625,-0.25,0
963,UT San Antonio,Gonzaga,2011,5,-5.39224138,-0.0625,-2.86099138,-0.80711207,1.512931034,3.87392241,-1.18318966,-0.36637931,-1.12392241,-1.80603448,-2.3200431,-0.04849138,-0.550646552,-1.245689655,1.07112069,-10.92887931,-0.167025862,0
964,Duke,Gonzaga,2011,-10,5.18382353,-0.0625,1.77389706,4.43933824,2.375,5.54227941,-0.73897059,-0.68382353,0.82536765,0.09558824,-0.49448529,-1.29595588,0.126838235,0.786764706,-0.80514706,6.10661765,0.163602941,1
965,San Diego St,Gonzaga,2011,-9,-4.84375,-0.0625,-0.25,1.46875,0.15625,1.4375,-4.5,-4.46875,1.125,-1.1875,-1.6875,-2.5,-1.15625,1.09375,-3.5,1.4375,0.21875,1
966,Connecticut,Gonzaga,2011,-8,-2.475,0.108928571,-0.34375,4.52589286,0.203571429,1.79017857,-1.99107143,-2.49642857,2.95982143,-0.73214286,-1.79196429,-1.78839286,-0.715178571,2.003571429,-2.65892857,-3.658928571,0.024107143,1
967,Texas,Gonzaga,2011,-7,-0.96323529,-0.003676471,0.12683824,2.79227941,0.080882353,-0.63419118,-1.29779412,2.08088235,2.32536765,0.83088235,-1.43566176,-1.70772059,-1.520220588,1.286764706,-1.48161765,2.84191176,0.075367647,1
968,Arizona,Gonzaga,2011,-6,0.65441176,0.055147059,-0.93198529,-1.53125,2.316176471,4.10110294,0.20220588,0.66911765,-1.05698529,-1.69852941,-0.81801471,-0.67830882,-2.314338235,-0.977941176,-0.06985294,-1.628676471,0.075367647,1
969,Cincinnati,Gonzaga,2011,-5,-6.90530303,-0.03219697,-2.19223485,-0.07670455,0.799242424,3.18844697,-3.32007576,-1.73106061,1.62215909,-3.32954545,-0.63352273,-1.95549242,0.232007576,0.162878788,-1.3844697,-0.929924242,0.038825758,1
970,Temple,Gonzaga,2011,-4,-4.9375,-0.03125,-0.75,1.59375,0.46875,1.4375,-3.90625,-3.4375,-0.4375,-0.8125,0.34375,-2.75,-0.40625,1.0625,-2.75,-1.90625,0.0625,1
971,Michigan,Gonzaga,2011,-3,-10.375,0,-2.84375,-2.40625,2.5,7.15625,-7.1875,-8.3125,-3.40625,-2.34375,-1.5,-3.375,-2.65625,-1.5625,-1.90625,-7.8125,-0.125,0
972,Tennessee,Gonzaga,2011,-2,-5.23863636,-0.001893939,-1.43465909,1.98390152,-0.412878788,1.33996212,-1.95643939,-0.27651515,2.41003788,-1.78409091,-1.78503788,-0.31912879,0.110795455,0.041666667,0.97916667,-7.354166667,-0.142992424,0
973,Penn St,Gonzaga,2011,-1,-12.84469697,-0.0625,-3.88920455,-4.19791667,0.678030303,2.97632576,-5.74431818,-6.8219697,-1.49905303,-4.26893939,-2.75473485,-2.98579545,-2.889204545,-1.140151515,-3.02083333,-10.08143939,-0.142992424,0
974,Missouri,Gonzaga,2011,0,4.96875,0.03125,2.53125,7.125,1.46875,3.71875,-1.5625,-1.375,0.6875,-3.5,1.3125,-1,2.375,1.34375,1.90625,-1.6875,-0.03125,0
975,Memphis,Gonzaga,2011,1,-3.84558824,0.025735294,-0.90257353,0.96875,0.375,2.57169118,-2.41544118,-0.83088235,0.61948529,-2.28676471,-0.31801471,1.76286765,1.185661765,1.727941176,1.54779412,-6.746323529,0.016544118,0
976,Oakland,Gonzaga,2011,2,9.21590909,-0.03219697,3.53503788,4.86268939,2.375,5.43087121,-0.22916667,1.02651515,0.98579545,0.4280303,1.18465909,0.13541667,-1.192234848,1.829545455,-0.08143939,-2.142045455,0.008522727,0
